frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
26,3.0,[1659.2785731765334 5.401868356354612 3280.021907784847 1453.3607857519005],[2081.51806640625 1145.668212890625 2688.183837890625 1333.0982666015625],0.7338666319847107,PIH-611,0.8562914920001694
26,1.0,[186.80671318283134 126.07093154959239 1757.0996231274967 1127.875181539929],[425.37432861328125 880.111328125 802.5994873046875 1031.9661865234375],0.6973448395729065,WIACU-805,0.7470772398120059
27,3.0,[1659.327073517077 6.295029068241092 3280.0133427245646 1453.7700234513604],[2087.96142578125 1150.210693359375 2684.01513671875 1330.1275634765625],0.7070047855377197,PIH-611,0.5654043458763688
29,3.0,[1655.9004172945042 7.2720031281484125 3277.1279629845094 1457.0516696701507],[2079.993408203125 1145.8023681640625 2689.5947265625 1341.080322265625],0.7405279278755188,PIH-611,0.8512113463781413
29,1.0,[183.56367391910715 129.90938623538625 1754.2243105217422 1131.8045847348008],[425.5179748535156 884.8770141601562 803.7720947265625 1042.310302734375],0.6879507303237915,EIACU-805,0.749958454251978
30,3.0,[1654.8131830579355 7.569880056529541 3276.771365749762 1456.82793910696],[2076.53173828125 1145.996826171875 2688.861328125 1339.74658203125],0.7388354539871216,PIH-611,0.44472443091376657
31,1.0,[181.74734247304593 131.2363125423622 1753.1662447967992 1133.7653746296087],[422.8253173828125 895.7871704101562 803.349609375 1042.83203125],0.6848289966583252,EIACU-805,0.3417025275767337
32,1.0,[180.8593978735804 131.9163769612037 1752.7071973617294 1134.6854591253768],[421.84808349609375 895.1521606445312 804.6004028320312 1044.3365478515625],0.6840812563896179,EIACU-805,0.4697987947770294
33,3.0,[1650.458447704472 9.926655372965229 3274.9365787538354 1459.9137103726043],[2083.459716796875 1147.7410888671875 2684.900390625 1343.012451171875],0.7409785389900208,PIH-611,0.9488759375054581
34,3.0,[1650.8891436823108 10.69133663324692 3275.0734813823337 1461.3613550701368],[2082.89599609375 1147.007080078125 2684.359130859375 1344.5621337890625],0.7420264482498169,PIH-611,0.5756043237968996
34,1.0,[180.68244118371058 133.4974988592433 1753.3543029936734 1137.5862307282928],[419.5887451171875 893.0355834960938 803.5594482421875 1043.2867431640625],0.6903168559074402,EIACU-805,0.22952966143040282
35,3.0,[1651.2182441786417 10.637271125223378 3276.3087536154644 1462.3095148097013],[2085.62353515625 1148.391357421875 2682.068359375 1343.841796875],0.7396107912063599,PIH-611,0.25660174987239887
36,1.0,[180.95117630932248 133.77305787463877 1753.2322525440536 1137.9166937813397],[422.050048828125 894.2471923828125 801.6040649414062 1044.8485107421875],0.6938844919204712,GIACU-805,0.8550102407945527
