frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
85,1,436.34885015590345 127.35993850114829 1967.2368386159906 1163.2706447343994,710.7466735839844 910.8314208984375 1113.091796875 1056.7384643554688,0,0,0
86,1,448.1510157272829 126.53997006532893 1975.3057668611386 1163.1782136167371,720.3283081054688 909.72216796875 1128.6578369140625 1058.19580078125,0.6900032758712769,AIACU-805,0.7365553225175958
87,1,461.31417213551026 125.15232695894628 1986.0349259100556 1162.8750985156598,740.1963500976562 911.9275817871094 1140.9515380859375 1055.770263671875,0,0,0
88,1,474.4773285437376 123.76468385256362 1996.7640849589725 1162.5719834145823,760.0643920898438 914.1329956054688 1153.2452392578125 1053.3447265625,0.697248101234436,AIACU-805,0.5226541114736325
89,1,494.5494192570921 120.55708898891703 2013.281125271348 1160.9605958317632,778.6015625 910.2504272460938 1176.3516845703125 1053.3326009114583,0,0,0
90,1,514.6215099704466 117.34949412527044 2029.7981655837232 1159.3492082489443,797.1387329101562 906.3678588867188 1199.4581298828125 1053.3204752604167,0,0,0
91,1,534.693600683801 114.14189926162385 2046.3152058960986 1157.7378206661251,815.6759033203125 902.4852905273438 1222.5645751953125 1053.308349609375,0.704948365688324,EIACU-805,0.8777433291693896
92,1,559.7099564939649 111.09643590898315 2067.050045640371 1157.83081174163,839.6215209960938 888.94189453125 1244.2113037109375 1055.6817626953125,0.7254488468170166,FIACU-805,0.26741909956500537
93,1,586.8210998898128 109.85578257616123 2090.960090133914 1158.685516693979,869.9454803466797 895.4608612060547 1274.7243347167969 1056.6972045898438,0,0,0
94,1,613.9322432856608 108.61512924333931 2114.8701346274565 1159.5402216463283,900.2694396972656 901.9798278808594 1305.2373657226562 1057.712646484375,0,0,0
95,1,641.0433866815088 107.37447591051739 2138.7801791209995 1160.3949265986776,930.5933990478516 908.4987945556641 1335.7503967285156 1058.7280883789062,0,0,0
96,1,668.1545300773566 106.13382257769547 2162.6902236145424 1161.2496315510266,960.9173583984375 915.0177612304688 1366.263427734375 1059.7435302734375,0.6756830215454102,EIACU-805,0.5821593286239025
97,1,704.05836717502 107.9476017532242 2193.262203086465 1166.0318516669997,995.801025390625 916.6498718261719 1405.4799194335938 1063.4985961914062,0,0,0
98,1,739.9622042726833 109.76138092875294 2223.834182558388 1170.8140717829729,1030.6846923828125 918.281982421875 1444.6964111328125 1067.253662109375,0.6872010827064514,EIACU-805,0.7291562607674626
99,1,775.9543172939061 110.64874240252925 2253.638883688781 1175.6667465129965,1060.3675537109375 919.2566528320312 1486.927734375 1083.7274169921875,0.7003860473632812,GIACU-805,0.5754858791588614
100,1,816.9191243513056 113.52047148292786 2289.5071277882957 1181.6644647510132,1098.9085693359375 921.2279663085938 1510.97900390625 1078.37451171875,0.6938361525535583,EIACU-805,0.4309815161628668
101,1,848.328900100044 113.3009462019229 2315.1247027218833 1182.4549717782302,1134.1435546875 925.645751953125 1548.6405029296875 1081.1434326171875,0.6858660578727722,EIACU-805,0.4353916883438066
102,1,875.3775135061401 113.4701714970713 2336.9334480902053 1186.6263763238344,1155.5069580078125 928.3963623046875 1572.0308837890625 1083.8162841796875,0.7036401629447937,EIACU-805,0.5204495461515501
103,1,900.4031674421623 111.74033709137973 2360.938468460787 1189.022742144909,1184.246826171875 932.68603515625 1592.4818115234375 1076.9300537109375,0.6604483127593994,EIACU-805,0.6526605973385341
104,1,932.761884253107 111.63982729564691 2388.4989803570716 1191.5955669443342,1209.175048828125 929.730712890625 1628.290283203125 1085.958251953125,0.7076365947723389,BIACU-805,0.39826903695973764
105,1,954.3865066050931 109.15757174494718 2405.8026498436516 1189.7338866246232,1235.6246337890625 928.3605346679688 1646.110107421875 1084.1136474609375,0.6762820482254028,FIACU-805,0.6539163243880095
106,1,970.303100558354 110.53698410158631 2417.4601494639564 1193.120511093452,1250.3614501953125 929.8539428710938 1673.256591796875 1093.147705078125,0.6935268640518188,EIACU-805,0.5259066026436758
107,1,984.432077145933 109.66583176351412 2428.3051566026193 1192.8480503387736,1262.7806396484375 928.74853515625 1686.39453125 1083.109375,0.6823241114616394,ZIACU-805,0.53228195886327
108,1,999.076707470031 107.80661049860475 2439.1655843492117 1192.6167157694204,1278.9735107421875 923.6771850585938 1700.1878662109375 1084.3470458984375,0.6693777441978455,EIACU-805,0.9230529953700946
109,1,1011.5904144220344 106.6586545612148 2450.0440254823347 1193.865225049682,1289.01123046875 922.2434692382812 1717.9110107421875 1082.891357421875,0.6959757208824158,BIACU-805,0.37407930866575617
110,1,1028.2908608377486 105.50719569086834 2466.171820106326 1195.599398133856,1305.9774169921875 928.6338500976562 1727.231689453125 1085.638671875,0.703025221824646,EIACU-805,0.49642981656501156
111,1,1039.751010205321 106.05621609746088 2476.90825696549 1198.0552924655544,1318.12255859375 927.974853515625 1745.2086181640625 1086.4294026692708,0,0,0
112,1,1051.2111595728936 106.6052365040534 2487.644693824654 1200.5111867972528,1330.2677001953125 927.3158569335938 1763.185546875 1087.2201334635417,0,0,0
113,1,1062.6713089404661 107.15425691064593 2498.3811306838184 1202.9670811289511,1342.412841796875 926.6568603515625 1781.1624755859375 1088.0108642578125,0.7110616564750671,BIACU-805,0.6373848037543164
114,1,1075.8933675779203 107.54931241788563 2510.2808276712544 1204.0552986608036,1361.0892333984375 931.4569702148438 1796.5491943359375 1089.8321533203125,0.6958121657371521,EIACU-805,0.8032287168224391
115,1,1090.948055125301 109.07150543043576 2524.1942974698313 1208.1922484300956,1378.712646484375 925.6636962890625 1814.3170166015625 1088.267578125,0.7010022401809692,GIACU-805,0.8004997526612523
116,1,1104.8619208566934 111.36423397988267 2536.1264912864185 1212.7754132006667,1395.2523193359375 923.841064453125 1835.9139404296875 1104.676025390625,0.737728476524353,HIACU-805,0.6496307790275078
117,1,1123.5445996945818 113.64044757849865 2550.1400569700704 1213.1371752748528,1417.180908203125 925.760009765625 1853.3880615234375 1095.847412109375,0.7061045169830322,FIACU-805,0.9575560299817698
118,1,1139.0886702635767 113.02388392652699 2561.3718396000922 1214.0446917730112,1433.2257080078125 927.2089233398438 1870.0975341796875 1102.8724365234375,0,0,0
119,1,1154.6327408325717 112.40732027455533 2572.6036222301145 1214.9522082711696,1449.2705078125 928.6578369140625 1886.8070068359375 1109.8974609375,0.7408825755119324,EIACU-805,0.6880031007145897
120,1,1172.4471696877108 117.99638302699543 2588.1935779416294 1224.3973964013726,1471.126953125 934.8931274414062 1918.3052978515625 1107.9801025390625,0.7409687638282776,EIACU805,0.5898925862305515
121,1,1191.0393853600308 120.68608944474681 2603.0493197772353 1231.300798304275,1487.50048828125 939.0037231445312 1923.734619140625 1110.7147216796875,0.7382448315620422,EIACU-805,0.8261119495881302
122,1,1208.9883434903127 126.88907217165229 2615.1827956867273 1239.9234741933774,1513.4813232421875 953.0355834960938 1958.457275390625 1112.1544189453125,0.7244716882705688,GIACU805,0.46187120343103133
123,1,1224.1571591001177 130.18691726879493 2628.1875304158075 1244.932732125049,1530.81201171875 955.0645141601562 1976.93603515625 1118.5740152994792,0,0,0
124,1,1239.3259747099225 133.4847623659376 2641.192265144887 1249.9419900567207,1548.1427001953125 957.0934448242188 1995.414794921875 1124.9936116536458,0,0,0
125,1,1254.4947903197276 136.78260746308024 2654.1969998739673 1254.9512479883922,1565.473388671875 959.1223754882812 2013.8935546875 1131.4132080078125,0.741493284702301,EIACU805,0.7158112167555651
126,1,1272.001150364255 139.24492251496127 2668.708626862348 1259.3840902612565,1580.3316650390625 961.2755126953125 2033.250732421875 1132.69970703125,0,0,0
127,1,1289.5075104087825 141.7072375668423 2683.220253850728 1263.8169325341205,1595.18994140625 963.4286499023438 2052.60791015625 1133.9862060546875,0.751985490322113,FIACU-805,0.6345533192752677
128,1,1303.8650452468428 141.98002569148565 2696.862525321151 1265.4965892465802,1609.632568359375 965.2493591308594 2063.4642333984375 1134.4049072265625,0,0,0
129,1,1318.2225800849028 142.252813816129 2710.5047967915743 1267.1762459590402,1624.0751953125 967.070068359375 2074.320556640625 1134.8236083984375,0.7446231842041016,FIACU-805,0.8046847730186488
146,2,12.263188304866617 150.76430409621844 1738.3347558581809 1239.906907353219,29.237503051757812 956.30419921875 395.6490783691406 1130.504150390625,0.7168981432914734,KJP-522,0.41222445019686677
147,2,10.582174542988355 154.8077285890189 1748.3981741563775 1247.370802410123,47.86222457885742 964.5620727539062 397.508056640625 1137.2171630859375,0.707390546798706,KJP-527,0.5036087628937963
148,2,9.903540214575969 157.1628308053829 1759.0556563444493 1253.4596924955808,67.647705078125 968.0648803710938 418.9539489746094 1142.1146240234375,0.7070123553276062,KJP-527,0.9445091725511946
149,2,10.096082603426908 159.35777242193853 1769.9653444620571 1257.1879381137023,87.46976470947266 971.7008666992188 438.5030822753906 1147.246337890625,0,0,0
150,2,10.288624992277846 161.55271403849417 1780.875032579665 1260.9161837318238,107.29182434082031 975.3368530273438 458.0522155761719 1152.3780517578125,0,0,0
151,2,10.481167381128785 163.7476556550498 1791.7847206972729 1264.6444293499453,127.11388397216797 978.9728393554688 477.6013488769531 1157.509765625,0.7282426953315735,KJP-527,0.6661677041669747
152,2,9.420865231528069 165.4328280620756 1799.3298872128016 1266.205017084029,136.84490585327148 980.9685974121094 488.08995056152344 1157.7444458007812,0,0,0
153,2,8.360563081927353 167.1180004691014 1806.8750537283304 1267.7656048181123,146.575927734375 982.96435546875 498.57855224609375 1157.9791259765625,0.7455558776855469,KJP527,0.9507413246849691
